"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_encode_worker[DisaggregationMode.ENCODE]","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","TestResolveDisaggregationModeFromLegacyMultimodalFlags","test_backend_args","",""
"Trigger the predownload_models fixture to download all required models.

    This test runs before any other tests in the session due to pytest.mark.order(""first"").
    By downloading models upfront, we ensure that model download time is not counted
    against individual test timeouts. This prevents tests from failing due to slow
    network downloads rather than actual test failures.

    The actual download logic is handled by the predownload_models session-scoped fixture
    defined in conftest.py.

    The parametrization ensures this test is selected by any CI marker expression
    that matches framework-specific E2E tests (e.g., ""vllm and e2e and gpu_1"").
    ","0","test_predownload_models[predownload_models_sglang_gpu2]","tests","2026-04-06","passed","2026-04-06","","test_predownload_models","",""
"","43","test_disagg_scale_down","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_sla_planner_scaling","",""
"get_avg_time_to_first_token with router source queries dynamo_component_router_* metric.","1","test_get_avg_time_to_first_token_dispatches_to_router_histogram","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","TestPrometheusAPIClientRouterSource","test_prometheus","",""
"","2","test_wake_up_passes_explicit_tags_from_request","components.src.dynamo.vllm.tests","2026-04-06","passed","2026-04-06","","test_vllm_sleep_wake_handlers","",""
"Test that GPU counts are read from DGD in Kubernetes mode","1","test_kubernetes_mode_reads_from_dgd","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","TestInitializeGpuCounts","test_sla_planner_scaling","",""
"","1","test_update_state_plans_save","components.src.dynamo.vllm.tests.multimodal_utils","2026-04-06","passed","2026-04-06","TestSchedulerSideLRU","test_vllm_multimodal_embedding_cache_connector","",""
"","88","test_unsupported_args_get_pruned_for_autodeploy[engine_args6-True]","components.src.dynamo.trtllm.tests","2026-04-06","passed","2026-04-06","TestTensorRTLLMEngine","test_trtllm_autodeploy","",""
"Test PrefillHandler can be initialized with encoder_cache.","2","test_init_with_encoder_cache","components.src.dynamo.trtllm.tests.request_handlers","2026-04-06","passed","2026-04-06","TestPrefillHandlerInit","test_trtllm_prefill_handler","",""
"","53946","test_router_decisions_sglang_multiple_workers[tcp]","tests.router","2026-04-06","passed","2026-04-06","","test_router_e2e_with_sglang","",""
"","2","test_wav_encoding","components.src.dynamo.vllm.tests.omni","2026-04-06","passed","2026-04-06","TestAudioFormatterEncode","test_output_formatter","",""
"Test scaling from low to high load scenarios.","1","test_scaling_scenario_low_to_high_load[500-1000-1-2]","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","TestReplicaCalculation","test_replica_calculation","",""
"","1","test_qwen3_tts_detected","components.src.dynamo.vllm.tests.omni","2026-04-06","passed","2026-04-06","TestIsTtsModel","test_audio_handler","",""
"","1","test_picks_expected_llm_cls[_autodeploy-tensorrt_llm._torch.auto_deploy.LLM]","components.src.dynamo.trtllm.tests","2026-04-06","passed","2026-04-06","TestTensorRTLLMEngine","test_trtllm_autodeploy","",""
"","1","test_max_new_tokens_range","components.src.dynamo.vllm.tests.omni","2026-04-06","passed","2026-04-06","TestValidateTtsRequest","test_audio_handler","",""
"Test get_graph_deployment when deployment is not found","0","test_get_graph_deployment_not_found","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_kube","",""
"Test successful scale request (exercises protocol, client, and serialization).","1","test_send_scale_request_success","components.src.dynamo.planner.tests.unit","2026-04-06","passed","2026-04-06","","test_remote_planner","",""
"","0","test_derive_planner_image_preserves_registry_tag_and_digest[nvcr.io/nvidia/ai-dynamo/dynamo-frontend:1.2.3-nvcr.io/nvidia/ai-dynamo/dynamo-planner:1.2.3]","components.src.dynamo.profiler.tests.unit","2026-04-06","passed","2026-04-06","","test_planner_image_selection","",""
"boundary_ratio outside (0, 1] must be rejected.","0","test_omni_config_invalid_boundary_ratio[0]","components.src.dynamo.vllm.tests.omni","2026-04-06","passed","2026-04-06","","test_omni_args","",""
